School Code,FCI,Sqft,System,"Total Cost by School, By System",Priority1 Count,Priority2 Count,Priority3 Count,Priority4 Count,Priority1 Cost,Priority2 Cost,Priority3 Cost,Priority4 Cost
CO-1420-8300,0.160571825,45525.66,HVAC,"$578,736.07 ",2,2,,,"$467,736.07 ","$111,000.00 ",,
CO-1420-8300,0.160571825,45525.66,Interior,"$1,071,602.77 ",,,1,7,,,"$154,012.50 ","$917,590.27 "
CO-1420-8300,0.160571825,45525.66,Other,"$4,440.00 ",,,2,,,,"$4,440.00 ",
CO-1420-8300,0.160571825,45525.66,Plumbing,"$243,175.74 ",,4,1,17,,"$74,370.00 ","$22,200.00 ","$146,605.74 "
CO-1420-8300,0.160571825,45525.66,Roofing,"$46,162.81 ",,1,1,,,"$27,750.00 ","$18,412.81 ",
CO-1420-8300,0.160571825,45525.66,Site,"$430,687.63 ",,,4,,,,"$430,687.63 ",
CO-1420-8300,0.160571825,45525.66,Specialties,"$164,821.67 ",,,2,4,,,"$44,989.93 ","$119,831.74 "
CO-1420-8300,0.160571825,45525.66,Stairs and Elevators,"$21,019.19 ",,,,1,,,,"$21,019.19 "
CO-1420-9058,0.240189799,44263,Electrical,"$269,823.20 ",,2,3,2,,"$123,912.83 ","$96,900.60 ","$49,009.76 "
CO-1420-9058,0.240189799,44263,Exterior,"$14,394.66 ",,,1,3,,,"$11,998.46 ","$2,396.20 "
CO-1420-9058,0.240189799,44263,HVAC,"$1,043,400.00 ",,1,,,,"$1,043,400.00 ",,
CO-1420-9058,0.240189799,44263,Interior,"$1,418,042.15 ",,,4,8,,,"$293,188.54 ","$1,124,853.61 "
CO-1420-9058,0.240189799,44263,Other,"$4,440.00 ",,,2,,,,"$4,440.00 ",
CO-1420-9058,0.240189799,44263,Plumbing,"$276,537.54 ",1,1,4,20,"$7,770.00 ","$45,099.32 ","$137,391.47 ","$86,276.75 "
CO-1420-9058,0.240189799,44263,Site,"$847,554.94 ",,,6,3,,,"$820,614.02 ","$26,940.92 "
CO-1420-9058,0.240189799,44263,Specialties,"$188,722.28 ",,2,,4,,"$77,700.00 ",,"$111,022.28 "
CO-1420-9058,0.240189799,44263,Stairs and Elevators,"$8,325.00 ",,1,,,,"$8,325.00 ",,
CO-1420-9058,0.240189799,44263,Structure,"$166,501.11 ",1,1,,,"$166,500.00 ",$1.11 ,,
CO-1420-0664,0.050963812,255560.28,Electrical,"$1,058,903.41 ",,,1,,,,"$1,058,903.41 ",
CO-1420-0664,0.050963812,255560.28,Exterior,"$2,679.95 ",,,1,,,,"$2,679.95 ",
CO-1420-0664,0.050963812,255560.28,Fire and Life Safety,"$5,373.91 ",2,,,,"$5,373.91 ",,,
CO-1420-0664,0.050963812,255560.28,HVAC,"$1,191,399.97 ",,4,,,"$61,050.00 ","$1,130,349.97 ",,
CO-1420-0664,0.050963812,255560.28,Interior,"$1,949,386.08 ",1,,1,5,"$31,402.27 ",,"$391,275.00 ","$1,526,708.82 "
CO-1420-0664,0.050963812,255560.28,Other,$1.75 ,1,,,,$1.75 ,,,
CO-1420-0664,0.050963812,255560.28,Plumbing,"$75,581.54 ",,1,2,3,,"$8,363.89 ","$7,002.90 ","$60,214.75 "
CO-1420-0664,0.050963812,255560.28,Roofing,"$111,000.00 ",1,,,,"$111,000.00 ",,,
CO-1420-0664,0.050963812,255560.28,Site,"$909,726.07 ",,,3,1,,,"$891,604.03 ","$18,122.05 "
CO-1420-0664,0.050963812,255560.28,Specialties,"$33,081.51 ",,,2,1,,,"$10,349.82 ","$22,731.69 "
CO-1420-0664,0.050963812,255560.28,Structure,"$115,233.38 ",1,,1,,"$3,503.20 ",,"$111,730.18 ",
CO-1420-0660,0.043357302,122366.58,Electrical,"$516,150.00 ",,1,1,,,"$49,950.00 ","$466,200.00 ",
CO-1420-0660,0.043357302,122366.58,Exterior,"$13,320.00 ",,,1,,,,"$13,320.00 ",
CO-1420-0660,0.043357302,122366.58,Fire and Life Safety,"$5,373.91 ",2,,,,"$5,373.91 ",,,
CO-1420-0660,0.043357302,122366.58,HVAC,"$66,600.00 ",,1,,,,"$66,600.00 ",,
CO-1420-0660,0.043357302,122366.58,Interior,"$1,073,877.84 ",,,1,2,,,"$266,400.00 ","$807,477.84 "
CO-1420-0660,0.043357302,122366.58,Other,$1.75 ,1,,,,$1.75 ,,,
CO-1420-0660,0.043357302,122366.58,Plumbing,"$67,472.08 ",,1,,,,"$67,472.08 ",,
CO-1420-0660,0.043357302,122366.58,Site,"$58,164.00 ",,,1,1,,,"$55,500.00 ","$2,664.00 "
CO-1420-0660,0.043357302,122366.58,Specialties,"$69,536.94 ",,,1,,,,"$69,536.94 ",
CO-1420-0660,0.043357302,122366.58,Structure,"$21,172.46 ",,,1,,,,"$21,172.46 ",
CO-1420-1318,0.087934966,99693.6,Electrical,"$480,698.11 ",,1,5,1,,"$1,610.94 ","$471,186.05 ","$7,901.11 "
CO-1420-1318,0.087934966,99693.6,Exterior,"$19,118.01 ",,1,,2,,"$16,079.68 ",,"$3,038.33 "
CO-1420-1318,0.087934966,99693.6,HVAC,"$1,477,861.95 ",,1,3,,,"$732,600.00 ","$745,261.95 ",
CO-1420-1318,0.087934966,99693.6,Interior,"$435,019.32 ",,,2,6,,,"$390,249.28 ","$44,770.04 "
CO-1420-1318,0.087934966,99693.6,Other,"$4,995.00 ",,,1,,,,"$4,995.00 ",
CO-1420-1318,0.087934966,99693.6,Plumbing,"$107,081.86 ",,2,,1,,"$26,403.63 ",,"$80,678.23 "
CO-1420-1318,0.087934966,99693.6,Roofing,"$9,070.38 ",1,1,2,,"$1,923.34 ","$2,986.75 ","$4,160.28 ",
CO-1420-1318,0.087934966,99693.6,Site,"$620,925.08 ",,1,2,3,,"$166,500.00 ","$378,872.05 ","$75,553.03 "
CO-1420-1318,0.087934966,99693.6,Specialties,"$299,049.85 ",,1,1,9,,"$4,440.31 ","$46,823.17 ","$247,786.37 "
CO-1420-1318,0.087934966,99693.6,Structure,"$132,714.87 ",,1,1,2,,"$55,500.00 ","$8,276.30 ","$68,938.57 "
CO-1420-3622,0.233598956,36920.25,Electrical,"$234,591.60 ",,2,5,1,,"$121,205.70 ","$107,742.25 ","$5,643.65 "
CO-1420-3622,0.233598956,36920.25,Exterior,"$293,413.87 ",,1,3,2,,"$277,500.00 ","$12,542.05 ","$3,371.82 "
CO-1420-3622,0.233598956,36920.25,HVAC,"$933,089.35 ",1,3,1,2,"$166,500.00 ","$628,665.04 ","$57,872.35 ","$80,051.97 "
CO-1420-3622,0.233598956,36920.25,Interior,"$958,156.10 ",,1,2,7,,"$164,496.25 ","$178,099.80 ","$615,560.05 "
CO-1420-3622,0.233598956,36920.25,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-3622,0.233598956,36920.25,Plumbing,"$73,578.14 ",,3,,,,"$73,578.14 ",,
CO-1420-3622,0.233598956,36920.25,Roofing,"$13,813.91 ",1,,1,,"$2,428.50 ",,"$11,385.40 ",
CO-1420-3622,0.233598956,36920.25,Site,"$693,315.01 ",,2,5,7,,"$48,229.82 ","$329,122.63 ","$315,962.57 "
CO-1420-3622,0.233598956,36920.25,Specialties,"$294,610.85 ",,,1,4,,,"$222,000.00 ","$72,610.85 "
CO-1420-3622,0.233598956,36920.25,Stairs and Elevators,"$38,222.24 ",,,,3,,,,"$38,222.24 "
CO-1420-4549,0.164511961,45418.05,Electrical,"$532,297.94 ",,,5,3,,,"$237,512.88 ","$294,785.05 "
CO-1420-4549,0.164511961,45418.05,Exterior,"$10,356.54 ",,1,1,,,"$7,676.59 ","$2,679.95 ",
CO-1420-4549,0.164511961,45418.05,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-4549,0.164511961,45418.05,Interior,"$819,240.76 ",,,1,6,,,"$288,600.00 ","$530,640.76 "
CO-1420-4549,0.164511961,45418.05,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-4549,0.164511961,45418.05,Plumbing,"$3,698.22 ",,,1,,,,"$3,698.22 ",
CO-1420-4549,0.164511961,45418.05,Site,"$959,732.93 ",,,7,7,,,"$776,884.30 ","$182,848.62 "
CO-1420-4549,0.164511961,45418.05,Specialties,"$925,919.32 ",,,,6,,,,"$925,919.32 "
CO-1420-4550,0.000124857,58511.27,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-6844,0.154627869,44015.96,Electrical,"$183,516.62 ",,,2,,,,"$183,516.62 ",
CO-1420-6844,0.154627869,44015.96,Exterior,"$23,562.51 ",,,,2,,,,"$23,562.51 "
CO-1420-6844,0.154627869,44015.96,HVAC,"$388,500.00 ",,2,,,,"$388,500.00 ",,
CO-1420-6844,0.154627869,44015.96,Interior,"$1,143,966.00 ",,1,3,,,"$83,250.00 ","$1,060,716.00 ",
CO-1420-6844,0.154627869,44015.96,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-6844,0.154627869,44015.96,Site,"$547,116.09 ",,,4,2,,,"$328,327.30 ","$218,788.79 "
CO-1420-6844,0.154627869,44015.96,Specialties,"$584,283.90 ",,1,,2,,"$244,200.00 ",,"$340,083.90 "
CO-1420-7282,0.127108546,29176.49,Electrical,"$3,527.72 ",,,1,,,,"$3,527.72 ",
CO-1420-7282,0.127108546,29176.49,Exterior,"$105,738.69 ",,9,1,2,,"$81,698.34 ","$6,431.87 ","$17,608.47 "
CO-1420-7282,0.127108546,29176.49,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-7282,0.127108546,29176.49,HVAC,"$250,086.06 ",,5,,,,"$250,086.06 ",,
CO-1420-7282,0.127108546,29176.49,Interior,"$563,203.74 ",,2,3,27,,"$32,032.38 ","$321,116.35 ","$210,055.01 "
CO-1420-7282,0.127108546,29176.49,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-7282,0.127108546,29176.49,Plumbing,"$212,472.95 ",,3,3,5,,"$97,209.42 ","$56,247.39 ","$59,016.15 "
CO-1420-7282,0.127108546,29176.49,Roofing,"$74,803.92 ",6,,2,,"$59,021.92 ",,"$15,782.00 ",
CO-1420-7282,0.127108546,29176.49,Site,"$377,177.41 ",,,4,11,,,"$206,052.51 ","$171,124.90 "
CO-1420-7282,0.127108546,29176.49,Specialties,"$153,276.64 ",,,3,7,,,"$116,649.80 ","$36,626.84 "
CO-1420-7282,0.127108546,29176.49,Stairs and Elevators,"$585,976.75 ",,,,21,,,,"$585,976.75 "
CO-1420-9412,0.179979528,51616,Electrical,"$45,684.67 ",,1,3,1,,"$16,027.13 ","$29,469.41 ",$188.12 
CO-1420-9412,0.179979528,51616,Exterior,"$67,390.99 ",,3,1,3,,"$58,847.38 ","$8,066.11 ",$477.49 
CO-1420-9412,0.179979528,51616,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-9412,0.179979528,51616,HVAC,"$797,064.97 ",1,7,3,2,"$166,500.00 ","$483,482.43 ","$111,288.31 ","$35,794.23 "
CO-1420-9412,0.179979528,51616,Interior,"$885,362.09 ",,1,3,15,,"$22,595.64 ","$83,990.27 ","$778,776.18 "
CO-1420-9412,0.179979528,51616,Plumbing,"$135,745.30 ",,,2,5,,,"$8,765.00 ","$126,980.29 "
CO-1420-9412,0.179979528,51616,Roofing,"$251,024.96 ",,,1,,,,"$251,024.96 ",
CO-1420-9412,0.179979528,51616,Site,"$380,785.27 ",,1,2,3,,"$4,221.35 ","$366,300.00 ","$10,263.91 "
CO-1420-9412,0.179979528,51616,Specialties,"$536,557.88 ",,,1,8,,,"$6,372.32 ","$530,185.56 "
CO-1420-0952,0.08485918,46069.77,Electrical,"$83,250.00 ",,,1,,,,"$83,250.00 ",
CO-1420-0952,0.08485918,46069.77,Exterior,"$13,659.46 ",,,1,1,,,"$13,320.00 ",$339.46 
CO-1420-0952,0.08485918,46069.77,HVAC,"$1,049,166.14 ",,3,1,,,"$927,066.14 ","$122,100.00 ",
CO-1420-0952,0.08485918,46069.77,Interior,"$785,198.28 ",,,2,7,,,"$113,899.95 ","$671,298.33 "
CO-1420-0952,0.08485918,46069.77,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-0952,0.08485918,46069.77,Plumbing,"$2,837.59 ",,,,1,,,,"$2,837.59 "
CO-1420-0952,0.08485918,46069.77,Site,"$49,395.00 ",,,1,,,,"$49,395.00 ",
CO-1420-0952,0.08485918,46069.77,Specialties,"$27,662.82 ",,,1,1,,,"$26,159.95 ","$1,502.87 "
CO-1420-0952,0.08485918,46069.77,Structure,"$15,950.22 ",,,,1,,,,"$15,950.22 "
CO-1420-0950,0.079253449,48681.93,Electrical,"$117,584.90 ",,1,1,1,,"$85,478.07 ","$13,294.65 ","$18,812.18 "
CO-1420-0950,0.079253449,48681.93,Exterior,"$111,000.00 ",,1,,,,"$111,000.00 ",,
CO-1420-0950,0.079253449,48681.93,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-0950,0.079253449,48681.93,HVAC,"$455,032.33 ",,1,,1,,"$444,000.00 ",,"$11,032.33 "
CO-1420-0950,0.079253449,48681.93,Interior,"$626,599.81 ",,,2,5,,,"$119,512.78 ","$507,087.03 "
CO-1420-0950,0.079253449,48681.93,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-0950,0.079253449,48681.93,Plumbing,"$92,110.50 ",1,,1,4,"$10,427.27 ",,"$62,759.82 ","$18,923.40 "
CO-1420-0950,0.079253449,48681.93,Roofing,"$28,796.74 ",,,2,1,,,"$21,932.22 ","$6,864.52 "
CO-1420-0950,0.079253449,48681.93,Site,"$125,720.93 ",,1,2,2,,"$4,221.35 ","$72,150.00 ","$49,349.58 "
CO-1420-0950,0.079253449,48681.93,Specialties,"$28,192.36 ",,,1,1,,,"$17,857.91 ","$10,334.44 "
CO-1420-1522,0.057901543,272641.02,Electrical,"$1,369,063.58 ",1,1,3,1,"$10,068.78 ","$20,855.72 ","$1,297,624.58 ","$40,514.50 "
CO-1420-1522,0.057901543,272641.02,Exterior,"$462,777.06 ",,2,2,1,,"$360,750.00 ","$101,545.38 ",$481.68 
CO-1420-1522,0.057901543,272641.02,HVAC,"$2,305,500.44 ",,,4,1,"$87,607.84 ","$829,558.14 ","$1,365,902.42 ","$22,432.03 "
CO-1420-1522,0.057901543,272641.02,Interior,"$1,162,052.73 ",,,2,11,,,"$348,436.86 ","$813,615.87 "
CO-1420-1522,0.057901543,272641.02,Other,$1.75 ,1,,,,$1.75 ,,,
CO-1420-1522,0.057901543,272641.02,Plumbing,"$69,784.19 ",,2,1,4,,"$30,913.56 ","$3,878.04 ","$34,992.59 "
CO-1420-1522,0.057901543,272641.02,Roofing,"$96,015.00 ",2,,,,"$96,015.00 ",,,
CO-1420-1522,0.057901543,272641.02,Site,"$536,290.35 ",,,7,6,,,"$363,541.63 ","$172,748.72 "
CO-1420-1522,0.057901543,272641.02,Specialties,"$696,503.87 ",,,2,6,,,"$247,760.56 ","$448,743.31 "
CO-1420-1876,0.1113868,46543.52,Electrical,"$25,259.83 ",,,1,,,,"$25,259.83 ",
CO-1420-1876,0.1113868,46543.52,Exterior,"$103,276.50 ",,2,,1,,"$102,794.81 ",,$481.68 
CO-1420-1876,0.1113868,46543.52,HVAC,"$1,047,442.15 ",,4,4,1,,"$651,006.73 ","$390,409.36 ","$6,026.07 "
CO-1420-1876,0.1113868,46543.52,Interior,"$369,255.12 ",,,1,4,,,"$244,200.00 ","$125,055.12 "
CO-1420-1876,0.1113868,46543.52,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-1876,0.1113868,46543.52,Plumbing,"$39,018.25 ",,1,2,,,"$17,070.71 ","$21,947.54 ",
CO-1420-1876,0.1113868,46543.52,Site,"$402,365.93 ",1,,5,4,"$67,611.75 ",,"$256,606.63 ","$78,147.55 "
CO-1420-1876,0.1113868,46543.52,Specialties,"$45,008.04 ",,,1,1,,,"$36,225.72 ","$8,782.32 "
CO-1420-1876,0.1113868,46543.52,Structure,"$24,828.92 ",,,1,,,,"$24,828.92 ",
CO-1420-2130,0.07924518,120276.83,Electrical,"$113,943.24 ",,1,3,2,,"$48,344.15 ","$52,977.07 ","$12,622.02 "
CO-1420-2130,0.07924518,120276.83,Exterior,"$15,846.37 ",,,,2,,,,"$15,846.37 "
CO-1420-2130,0.07924518,120276.83,HVAC,"$1,717,822.07 ",,2,5,1,,"$106,773.99 ","$1,594,301.04 ","$16,747.05 "
CO-1420-2130,0.07924518,120276.83,Interior,"$985,637.51 ",,,4,8,,,"$470,527.21 ","$515,110.30 "
CO-1420-2130,0.07924518,120276.83,Plumbing,"$113,025.67 ",,2,,3,,"$70,790.92 ",,"$42,234.76 "
CO-1420-2130,0.07924518,120276.83,Site,"$238,648.79 ",,,3,,,,"$238,648.79 ",
CO-1420-2130,0.07924518,120276.83,Specialties,"$384,007.97 ",,,1,5,,,"$5,174.91 ","$378,833.07 "
CO-1420-2130,0.07924518,120276.83,Stairs and Elevators,"$163,592.42 ",,,,2,,,,"$163,592.42 "
CO-1420-2963,0.046822475,113571.54,Electrical,"$524,380.83 ",,2,1,,,"$62,181.80 ","$462,199.03 ",
CO-1420-2963,0.046822475,113571.54,Exterior,"$111,000.00 ",,1,,,,"$111,000.00 ",,
CO-1420-2963,0.046822475,113571.54,HVAC,"$572,131.02 ",,,6,,,,"$572,131.02 ",
CO-1420-2963,0.046822475,113571.54,Interior,"$657,584.82 ",,,1,5,,,"$299,700.00 ","$357,884.82 "
CO-1420-2963,0.046822475,113571.54,Other,"$4,995.00 ",,,1,,,,"$4,995.00 ",
CO-1420-2963,0.046822475,113571.54,Plumbing,"$27,393.28 ",1,1,,1,"$10,427.27 ","$8,363.89 ",,"$8,602.11 "
CO-1420-2963,0.046822475,113571.54,Site,"$68,454.12 ",,,1,1,,,"$66,532.37 ","$1,921.75 "
CO-1420-2963,0.046822475,113571.54,Specialties,"$28,702.52 ",,,2,2,,,"$7,802.31 ","$20,900.21 "
CO-1420-6133,0.106384697,52157.75,Electrical,"$528,687.57 ",,,4,,,,"$528,687.57 ",
CO-1420-6133,0.106384697,52157.75,Exterior,"$30,697.54 ",,1,1,3,,"$10,299.41 ","$2,522.31 ","$17,875.82 "
CO-1420-6133,0.106384697,52157.75,HVAC,"$222,000.00 ",1,1,,,"$166,500.00 ","$55,500.00 ",,
CO-1420-6133,0.106384697,52157.75,Interior,"$846,952.09 ",,,1,7,,,"$104,062.50 ","$742,889.59 "
CO-1420-6133,0.106384697,52157.75,Other,"$2,776.75 ",1,,1,,$1.75 ,,"$2,775.00 ",
CO-1420-6133,0.106384697,52157.75,Plumbing,"$29,039.93 ",1,1,,,"$3,921.83 ","$25,118.10 ",,
CO-1420-6133,0.106384697,52157.75,Site,"$298,681.34 ",,,4,,,,"$298,681.34 ",
CO-1420-6133,0.106384697,52157.75,Specialties,"$134,448.99 ",,,,4,,,,"$134,448.99 "
CO-1420-6133,0.106384697,52157.75,Structure,"$110,052.86 ",1,1,,1,"$7,542.38 ","$3,503.20 ",,"$99,007.27 "
CO-1420-7780,0.078749183,53368.43,Exterior,"$76,988.09 ",,8,,6,,"$69,799.53 ",,"$7,188.56 "
CO-1420-7780,0.078749183,53368.43,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-7780,0.078749183,53368.43,HVAC,"$245,680.50 ",,2,1,,,"$71,698.46 ","$173,982.03 ",
CO-1420-7780,0.078749183,53368.43,Interior,"$831,876.65 ",,,1,31,,,"$104,062.50 ","$727,814.15 "
CO-1420-7780,0.078749183,53368.43,Other,"$38,327.66 ",,1,2,,,"$5,067.15 ","$33,260.51 ",
CO-1420-7780,0.078749183,53368.43,Plumbing,"$75,123.57 ",,,,8,,,,"$75,123.57 "
CO-1420-7780,0.078749183,53368.43,Roofing,"$88,000.98 ",1,2,,,"$10,585.27 ","$77,415.71 ",,
CO-1420-7780,0.078749183,53368.43,Site,"$55,455.66 ",,,,1,,,,"$55,455.66 "
CO-1420-7780,0.078749183,53368.43,Specialties,"$240,646.37 ",,,,4,,,,"$240,646.37 "
CO-1420-7780,0.078749183,53368.43,Stairs and Elevators,$840.77 ,,,,1,,,,$840.77 
CO-1420-7780,0.078749183,53368.43,Structure,"$32,009.72 ",1,,1,,"$11,100.00 ",,"$20,909.72 ",
CO-1420-8280,0.129326946,45230.39,Electrical,"$515,328.93 ",,1,3,3,,"$6,480.92 ","$446,202.55 ","$62,645.46 "
CO-1420-8280,0.129326946,45230.39,Exterior,"$13,503.08 ",,1,1,1,,"$4,790.63 ","$8,039.84 ",$672.62 
CO-1420-8280,0.129326946,45230.39,HVAC,"$891,918.94 ",,1,3,1,,"$682,650.00 ","$204,169.97 ","$5,098.97 "
CO-1420-8280,0.129326946,45230.39,Interior,"$734,766.52 ",,,2,11,,,"$329,199.28 ","$405,567.24 "
CO-1420-8280,0.129326946,45230.39,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-8280,0.129326946,45230.39,Plumbing,"$21,048.97 ",,,1,2,,,"$12,191.13 ","$8,857.84 "
CO-1420-8280,0.129326946,45230.39,Site,"$329,245.24 ",,1,4,7,,"$4,221.35 ","$225,941.64 ","$99,082.24 "
CO-1420-8280,0.129326946,45230.39,Specialties,"$36,028.78 ",,,,3,,,,"$36,028.78 "
CO-1420-8280,0.129326946,45230.39,Stairs and Elevators,"$1,050.96 ",,,,1,,,,"$1,050.96 "
CO-1420-9008,0.154694019,46466.04,Electrical,"$193,921.12 ",,,3,2,,,"$192,792.38 ","$1,128.74 "
CO-1420-9008,0.154694019,46466.04,Exterior,"$5,831.95 ",,1,,2,,"$4,950.90 ",,$881.05 
CO-1420-9008,0.154694019,46466.04,HVAC,"$1,685,276.65 ",,5,5,1,,"$1,416,985.39 ","$262,265.19 ","$6,026.07 "
CO-1420-9008,0.154694019,46466.04,Interior,"$580,400.04 ",,,2,10,,,"$290,049.97 ","$290,350.07 "
CO-1420-9008,0.154694019,46466.04,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-9008,0.154694019,46466.04,Plumbing,"$117,798.59 ",,1,3,1,,"$48,365.18 ","$55,946.10 ","$13,487.32 "
CO-1420-9008,0.154694019,46466.04,Roofing,"$21,170.54 ",2,,,,"$21,170.54 ",,,
CO-1420-9008,0.154694019,46466.04,Site,"$318,198.15 ",,1,3,5,,"$4,221.35 ","$233,878.73 ","$80,098.07 "
CO-1420-9008,0.154694019,46466.04,Specialties,"$27,834.05 ",,,,2,,,,"$27,834.05 "
CO-1420-1861,0.142833256,47380,Electrical,"$353,866.77 ",,4,2,1,,"$53,780.93 ","$260,850.00 ","$39,235.84 "
CO-1420-1861,0.142833256,47380,Exterior,"$16,650.00 ",,1,,,,"$16,650.00 ",,
CO-1420-1861,0.142833256,47380,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-1861,0.142833256,47380,HVAC,"$1,088,956.92 ",1,3,,,"$208,378.51 ","$880,578.41 ",,
CO-1420-1861,0.142833256,47380,Interior,"$701,086.87 ",,,1,7,,,"$129,037.50 ","$572,049.37 "
CO-1420-1861,0.142833256,47380,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-1861,0.142833256,47380,Plumbing,"$43,381.54 ",1,1,1,,"$10,427.27 ","$27,059.59 ","$5,894.68 ",
CO-1420-1861,0.142833256,47380,Roofing,"$17,868.25 ",,1,,,,"$17,868.25 ",,
CO-1420-1861,0.142833256,47380,Site,"$480,882.23 ",,1,5,2,,"$4,221.35 ","$400,502.55 ","$76,158.32 "
CO-1420-1861,0.142833256,47380,Specialties,"$60,860.21 ",,,,3,,,,"$60,860.21 "
CO-1420-1864,0.074190606,256560,Electrical,"$1,195,511.47 ",1,4,4,2,"$49,132.37 ","$50,924.62 ","$1,063,830.04 ","$31,624.43 "
CO-1420-1864,0.074190606,256560,Exterior,"$308,792.44 ",,1,2,6,,"$111,000.00 ","$3,747.76 ","$194,044.68 "
CO-1420-1864,0.074190606,256560,HVAC,"$3,121,845.30 ",,5,5,1,"$2,036,360.78 ","$274,655.39 ","$779,738.23 ","$31,090.90 "
CO-1420-1864,0.074190606,256560,Interior,"$2,633,060.57 ",,1,6,13,,"$29,426.88 ","$1,347,996.91 ","$1,255,636.78 "
CO-1420-1864,0.074190606,256560,Other,$1.75 ,1,,,,$1.75 ,,,
CO-1420-1864,0.074190606,256560,Plumbing,"$149,055.24 ",1,1,3,5,"$10,427.27 ","$20,083.20 ","$24,398.03 ","$94,146.74 "
CO-1420-1864,0.074190606,256560,Site,"$595,204.37 ",,1,7,2,,"$35,032.00 ","$452,140.78 ","$108,031.58 "
CO-1420-1864,0.074190606,256560,Specialties,"$684,785.07 ",,2,2,9,,"$17,494.04 ","$149,535.39 ","$517,755.64 "
CO-1420-1864,0.074190606,256560,Stairs and Elevators,"$5,622.64 ",,,,2,,,,"$5,622.64 "
CO-1420-1864,0.074190606,256560,Structure,"$193,912.60 ",1,,1,,"$93,633.52 ",,"$100,279.09 ",
CO-1420-2322,0.228162991,49780.37,Electrical,"$281,746.36 ",,,1,2,,,"$234,837.15 ","$46,909.21 "
CO-1420-2322,0.228162991,49780.37,Exterior,"$55,500.00 ",,,,1,,,,"$55,500.00 "
CO-1420-2322,0.228162991,49780.37,HVAC,"$1,999,470.12 ",1,4,1,1,"$166,500.00 ","$1,736,386.28 ","$85,458.80 ","$11,125.04 "
CO-1420-2322,0.228162991,49780.37,Interior,"$560,353.42 ",,,1,4,,,"$277,500.00 ","$282,853.42 "
CO-1420-2322,0.228162991,49780.37,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-2322,0.228162991,49780.37,Plumbing,"$56,675.82 ",,2,,,,"$56,675.82 ",,
CO-1420-2322,0.228162991,49780.37,Roofing,"$11,100.00 ",1,,,,"$11,100.00 ",,,
CO-1420-2322,0.228162991,49780.37,Site,"$315,618.00 ",,,3,3,,,"$194,250.00 ","$121,368.00 "
CO-1420-2322,0.228162991,49780.37,Specialties,"$844,215.05 ",,,1,6,,,"$33,300.00 ","$810,915.05 "
CO-1420-3536,0.147920448,46907.44,Electrical,"$232,328.67 ",,,4,1,,,"$206,657.61 ","$25,671.06 "
CO-1420-3536,0.147920448,46907.44,Exterior,"$172,343.04 ",,1,,2,,"$151,652.91 ","$9,435.00 ","$11,255.13 "
CO-1420-3536,0.147920448,46907.44,Fire and Life Safety,"$2,686.95 ",1,,,,"$2,686.95 ",,,
CO-1420-3536,0.147920448,46907.44,HVAC,"$1,415,537.62 ",1,4,3,,"$166,500.00 ","$674,933.26 ","$574,104.37 ",
CO-1420-3536,0.147920448,46907.44,Interior,"$886,066.81 ",,,1,3,,,"$288,600.00 ","$597,466.81 "
CO-1420-3536,0.147920448,46907.44,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-3536,0.147920448,46907.44,Plumbing,"$59,301.28 ",,1,1,2,,"$22,858.37 ","$25,398.20 ","$11,044.71 "
CO-1420-3536,0.147920448,46907.44,Site,"$220,042.16 ",,,3,1,,,"$208,072.90 ","$11,969.26 "
CO-1420-3536,0.147920448,46907.44,Specialties,"$62,470.83 ",,,1,1,,,"$11,439.69 ","$51,031.14 "
CO-1420-4548,0.116047708,102013.68,Electrical,"$694,469.36 ",,3,6,1,,"$226,887.66 ","$456,294.38 ","$11,287.31 "
CO-1420-4548,0.116047708,102013.68,Exterior,"$35,947.93 ",1,1,,1,"$4,204.28 ","$27,750.00 ",,"$3,993.65 "
CO-1420-4548,0.116047708,102013.68,Fire and Life Safety,"$5,373.91 ",2,,,,"$5,373.91 ",,,
