School Code,FCI,Sqft,System,"Total Cost by School, By System",Priority1 Count,Priority2 Count,Priority3 Count,Priority4 Count,Priority1 Cost,Priority2 Cost,Priority3 Cost,Priority4 Cost
CO-1420-6808,0.171528287,48895.37,Stairs and Elevators,"$1,891.73 ",,,,1,,,,"$1,891.73 "
CO-1420-7468,0.213275377,47985.78,Electrical,"$12,839.93 ",,,1,1,,,"$8,325.00 ","$4,514.93 "
CO-1420-7468,0.213275377,47985.78,Exterior,"$16,079.68 ",,,1,,,,"$16,079.68 ",
CO-1420-7468,0.213275377,47985.78,Fire and Life Safety,"$24,960.29 ",1,,,,"$24,960.29 ",,,
CO-1420-7468,0.213275377,47985.78,HVAC,"$3,255,141.56 ",,6,,2,,"$3,175,868.35 ",,"$79,273.20 "
CO-1420-7468,0.213275377,47985.78,Interior,"$142,912.50 ",,,1,1,,,"$129,037.50 ","$13,875.00 "
CO-1420-7468,0.213275377,47985.78,Other,"$2,775.00 ",,,1,,,,"$2,775.00 ",
CO-1420-7468,0.213275377,47985.78,Plumbing,"$232,427.27 ",1,,1,,"$10,427.27 ",,"$222,000.00 ",
CO-1420-7468,0.213275377,47985.78,Site,"$294,169.89 ",,,3,,,,"$294,169.89 ",
CO-1420-7468,0.213275377,47985.78,Specialties,"$4,182.48 ",,,,1,,,,"$4,182.48 "
0,0.255482877,#N/A,Exterior,"$55,500.00 ",,2,,,,"$55,500.00 ",,
CO-1420-0370,0.086830169,245431,Educational Technology,"$85,634.84 ",1,,,,"$85,634.84 ",,,
CO-1420-0370,0.086830169,245431,Electrical,"$1,774,505.48 ",,4,3,3,,"$620,060.94 ","$1,111,875.41 ","$42,569.13 "
CO-1420-0370,0.086830169,245431,Exterior,"$245,805.79 ",,2,2,4,,"$158,323.88 ","$20,984.17 ","$66,497.74 "
CO-1420-0370,0.086830169,245431,HVAC,"$4,362,876.40 ",,3,,,"$2,291,077.74 ","$2,071,798.66 ",,
CO-1420-0370,0.086830169,245431,Interior,"$1,357,178.33 ",,,3,7,,,"$822,577.59 ","$534,600.74 "
CO-1420-0370,0.086830169,245431,Other,"$1,665.00 ",,,1,,,,"$1,665.00 ",
CO-1420-0370,0.086830169,245431,Plumbing,"$573,190.91 ",1,3,5,6,"$25,101.31 ","$32,654.86 ","$362,760.62 ","$152,674.13 "
CO-1420-0370,0.086830169,245431,Roofing,"$17,883.82 ",,1,,1,,"$15,824.46 ",,"$2,059.36 "
CO-1420-0370,0.086830169,245431,Site,"$2,088,592.69 ",,2,8,5,,"$26,698.16 ","$1,983,158.93 ","$78,735.60 "
CO-1420-0370,0.086830169,245431,Specialties,"$780,011.53 ",1,1,5,5,"$142,317.48 ","$11,100.00 ","$321,722.67 ","$304,871.38 "
CO-1420-0370,0.086830169,245431,Stairs and Elevators,"$315,403.57 ",,,1,2,,,"$284,726.06 ","$30,677.51 "
CO-1420-0109,0.14379955,115749.94,Electrical,"$249,726.82 ",,3,1,1,,"$213,266.04 ",$875.80 ,"$35,584.98 "
CO-1420-0109,0.14379955,115749.94,Exterior,"$77,567.97 ",1,1,,1,"$2,099.73 ","$55,500.00 ",,"$19,968.23 "
CO-1420-0109,0.14379955,115749.94,Fire and Life Safety,"$926,512.82 ",,,1,,,,"$926,512.82 ",
