NEWJeffCoFacilityID,UniqueID,SchoolName,SystemCategory,AssetType,PriorityScore,ConditionSource,Unit,UnitValue,ReplacementCost,Notes,
101,CO-1420-0030,Adams ES,08_site infrastructure,HVAC,3,Deficiency Data Oct 25,,,169042.92,,
101,CO-1420-0030,Adams ES,08_site infrastructure,HVAC,4,Deficiency Data Oct 25,,,49559.11,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Other,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Other,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Other,3,Deficiency Data Oct 25,,,2775,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Other,4,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Plumbing,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Plumbing,2,Deficiency Data Oct 25,,,22549.66,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Plumbing,3,Deficiency Data Oct 25,,,14021.66,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Plumbing,4,Deficiency Data Oct 25,,,66235,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Roofing,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Roofing,2,Deficiency Data Oct 25,,,1984.74,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Roofing,3,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Roofing,4,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Educational Technology,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Educational Technology,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Educational Technology,3,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Educational Technology,4,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Site,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Site,2,Deficiency Data Oct 25,,,58377.35,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Site,3,Deficiency Data Oct 25,,,530937.7,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Site,4,Deficiency Data Oct 25,,,132701.63,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Specialties,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Specialties,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Specialties,3,Deficiency Data Oct 25,,,56055,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Specialties,4,Deficiency Data Oct 25,,,31993.53,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Stairs and Elevators,1,Deficiency Data Oct 25,,,73130,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Stairs and Elevators,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Stairs and Elevators,3,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Stairs and Elevators,4,Deficiency Data Oct 25,,,5254.8,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Structural,1,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Structural,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Structural,3,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Structural,4,Deficiency Data Oct 25,,,2585.36,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Structure,1,Deficiency Data Oct 25,,,7542.38,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Structure,2,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Structure,3,Deficiency Data Oct 25,,,None,,
101,CO-1420-0030,Adams ES,08_site infrastructure,Structure,4,Deficiency Data Oct 25,,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,00_general,ADA compliance,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,Demolition,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New Construction ES,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New Construction HS,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New Construction K-8,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,01_new construction,New Construction MS,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,02_gut & renovation,Gut & Major Renovation ES,,,EA,,12057535,,
102,CO-1420-0724,Belmar School of Integrated Arts,02_gut & renovation,Gut & Major Renovation HS,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,02_gut & renovation,Gut & Major Renovation K-8,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,02_gut & renovation,Gut & Major Renovation MS,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,03_addition,New 2-story building,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,03_addition,New 3-story building,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,03_addition,New auditorium,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,03_addition,New gym and locker rooms,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,03_addition,New multipurpose room,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,03_addition,New cafeteria and kitchen,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Add shade structure(s),,0,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Campus landscaping upgrade,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Expand parking,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,"Front of school branding, landscape upgrades",,0.7375,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Furniture upgrades,,0.225,,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Improve drop-off / pick-up zone,,0.9,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,New outdoor classroom,,0,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Playground replacement (ages 2-5),,Does not apply,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Playground replacement (ages 5-12),,0.5,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Resurface asphalt,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Resurface concrete,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,04_campus upgrade,Upgrade artificial turf field,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Modernize admin,,0.427777778,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Modernize classrooms,,0.619419338,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Modernize gym / assembly space,,0.411337209,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Modernize kitchen,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Modernize cafeteria,,0.562257752,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Modernize multipurpose room,,Does not apply,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Heavily modernize restrooms,,1,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Heavily modernize STEM / CTE / specialized labs (MS/HS),,Does not apply,,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Lightly modernize corridors,,1,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Lightly modernize entry lobby,,0.75,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,modernization,Lightly modernize library/media center,,,EA,,,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Electrical,1,Deficiency Data Oct 25,EA,,None,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Electrical,2,Deficiency Data Oct 25,EA,,78085.84,,
102,CO-1420-0724,Belmar School of Integrated Arts,08_site infrastructure,Electrical,3,Deficiency Data Oct 25,EA,,167983.37,,
