OBJECTID,Attend School Code,Attend School Name,Attendance Articulation Area,Grade,Choice,Longitude,Latitude
1,CO-1420-8280,Stony Creek Elementary,Chatfield,04,Choice,-104.810921,39.37957462
2,CO-1420-8280,Stony Creek Elementary,Chatfield,01,Choice,-104.810921,39.37957462
3,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.2725714,39.38455165
4,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.2725714,39.38455165
5,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.2633329,39.38344465
6,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.2751049,39.39173365
7,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.2751049,39.39173365
8,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4575168,39.39220768
9,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4816368,39.40595366
10,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4800068,39.40513865
11,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4206303,39.40599866
12,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3141334,39.40704265
13,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.3141334,39.40704265
14,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3144129,39.40727166
15,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4002093,39.41077766
16,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4002093,39.41077766
17,CO-1420-9432,Dennison Elementary,Option,05,Choice,-105.3840948,39.41117365
18,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.3372274,39.41180365
19,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.5132853,39.41312666
20,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.5132853,39.41312666
21,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4681578,39.41292665
22,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4551228,39.41636964
23,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4486743,39.41329766
24,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4501233,39.41435966
25,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.4463838,39.41367566
26,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4463838,39.41367566
27,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4319639,39.41531067
28,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4287528,39.41307266
29,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.4287528,39.41307266
30,CO-1420-2836,Evergreen High,Evergreen,11,Choice,-105.4218318,39.41550266
31,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4251629,39.41555064
32,CO-1420-2836,Evergreen High,Evergreen,12,Choice,-105.4230319,39.41600465
33,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4218498,39.41306366
34,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4218498,39.41306366
35,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4176558,39.41352266
36,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4159053,39.41613265
37,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3347524,39.41282065
38,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.5407498,39.41785065
39,CO-1420-378,Arvada West High,Arvada West,12,Choice,-105.4530348,39.41868866
40,CO-1420-2616,Elk Creek Elementary,Conifer,05,Choice,-105.4481613,39.41874266
41,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4227903,39.41741965
42,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4227903,39.41741965
43,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4145629,39.42013165
44,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4145629,39.42013165
45,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4590648,39.42018266
46,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4590648,39.42018266
47,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4321188,39.42344066
48,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4321188,39.42344066
49,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4321188,39.42344066
50,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4315298,39.42249865
51,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4273173,39.42136166
52,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4273173,39.42136166
53,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4248693,39.42248665
54,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4248693,39.42248665
55,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4248693,39.42248665
56,CO-1420-664,Bear Creek High,Bear Creek,11,Choice,-105.4243383,39.42320665
57,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4211039,39.42198266
58,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4169059,39.42061863
59,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4800748,39.42407265
60,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4505238,39.42221666
61,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4482738,39.42622166
62,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4273308,39.42206366
63,CO-1420-9424,West Jefferson Elementary,Conifer,PK,Choice,-105.4198808,39.42439565
64,CO-1420-9424,West Jefferson Elementary,Conifer,04,Choice,-105.4198808,39.42439565
65,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4198808,39.42439565
66,CO-1420-9424,West Jefferson Elementary,Conifer,05,Choice,-105.4035348,39.42215365
67,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4046598,39.42515065
68,CO-1420-2616,Elk Creek Elementary,Conifer,03,Choice,-105.4046598,39.42515065
69,CO-1420-2616,Elk Creek Elementary,Conifer,03,Choice,-105.4050333,39.42483565
70,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3549168,39.42559165
71,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3501739,39.42184765
72,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3501739,39.42184765
73,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3501739,39.42184765
74,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3164959,39.42461065
75,CO-1420-9424,West Jefferson Elementary,Conifer,05,Choice,-105.3164959,39.42461065
76,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3134449,39.42569065
77,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4581063,39.42571766
78,CO-1420-2616,Elk Creek Elementary,Conifer,05,Choice,-105.4581063,39.42571766
79,CO-1420-2616,Elk Creek Elementary,Conifer,03,Choice,-105.4581063,39.42571766
80,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.4484808,39.42864266
81,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4484808,39.42864266
82,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4484808,39.42864266
83,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4355883,39.42611366
84,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4209858,39.42627565
85,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4157178,39.43044864
86,CO-1420-724,Belmar School of Integrated Arts,Lakewood,04,Choice,-104.8464575,39.42653661
87,CO-1420-1864,Columbine High,Columbine,12,Choice,-104.78087,39.42334161
88,CO-1420-1864,Columbine High,Columbine,11,Choice,-104.78087,39.42334161
89,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4423658,39.43007166
90,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4156758,39.43369165
91,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4156758,39.43369165
92,CO-1420-2616,Elk Creek Elementary,Conifer,03,Choice,-105.4109778,39.43029865
93,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4109778,39.43029865
94,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.3515913,39.43030765
95,CO-1420-2616,Elk Creek Elementary,Conifer,01,Home School,-105.3515913,39.43030765
96,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4623048,39.43618466
97,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.3981213,39.43481665
98,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.3981213,39.43481665
99,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3950073,39.43436665
100,CO-1420-5580,Marshdale Elementary,Conifer,05,Choice,-105.3950073,39.43436665
101,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3963078,39.43488865
102,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3929103,39.43611265
103,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3866688,39.43433965
104,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3888558,39.43442065
105,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3479688,39.43379065
106,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3439278,39.43488865
107,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3439278,39.43488865
108,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3464343,39.43406965
109,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3455613,39.43579765
110,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3455613,39.43579765
111,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3436669,39.43362865
112,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.3436669,39.43362865
113,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.3260134,39.43547365
114,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.3266434,39.43401565
115,CO-1420-1886,Conifer High,Conifer,10,Home School,-105.3266434,39.43401565
116,CO-1420-1886,Conifer High,Conifer,10,Home School,-105.3267694,39.43317865
117,CO-1420-9428,West Jefferson Middle,Conifer,08,Choice,-105.4481658,39.43875865
118,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4481658,39.43875865
119,CO-1420-2836,Evergreen High,Evergreen,11,Choice,-105.4185769,39.43636265
120,CO-1420-9234,Warren Tech Center,Option,12,Choice,-105.4133268,39.43901065
121,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3933468,39.44104465
122,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3933468,39.44104465
123,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.3716433,39.43837165
124,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3716433,39.43837165
125,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3302884,39.44079265
126,CO-1420-7128,Powderhorn Elementary,Dakota Ridge,KGF,Choice,-105.0799219,39.43790363
127,CO-1420-7128,Powderhorn Elementary,Dakota Ridge,03,Choice,-105.0799219,39.43790363
128,CO-1420-7128,Powderhorn Elementary,Dakota Ridge,03,Choice,-105.0799219,39.43790363
129,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4539898,39.44366367
130,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4453983,39.44369965
131,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4453983,39.44369965
132,CO-1420-2616,Elk Creek Elementary,Conifer,05,Choice,-105.4453983,39.44369965
133,CO-1420-2616,Elk Creek Elementary,Conifer,03,Choice,-105.4453983,39.44369965
134,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4211703,39.44149465
135,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.4211703,39.44149465
136,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4146633,39.44440165
137,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3950298,39.44123365
138,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.3944313,39.44054965
139,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3944313,39.44054965
140,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3856968,39.44335765
141,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3538413,39.44303365
142,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3340189,39.43924465
143,CO-1420-9424,West Jefferson Elementary,Conifer,PK,Choice,-105.3332404,39.44033365
144,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3331009,39.44117965
145,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.3331009,39.44117965
146,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3302119,39.44195365
147,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3280834,39.44134165
148,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3280834,39.44134165
149,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.2663569,39.44312364
150,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.2663569,39.44312364
151,CO-1420-7780,Shaffer Elementary,Chatfield,05,Choice,-104.7648635,39.43739061
152,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4782618,39.44798366
153,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4782618,39.44798366
154,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4583223,39.44531965
155,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.4137633,39.44453665
156,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3960693,39.44549065
157,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3869163,39.44358265
158,CO-1420-5580,Marshdale Elementary,Conifer,01,Choice,-105.3852693,39.44520265
159,CO-1420-5580,Marshdale Elementary,Conifer,03,Choice,-105.3852693,39.44520265
160,CO-1420-5580,Marshdale Elementary,Conifer,05,Choice,-105.3852693,39.44520265
161,CO-1420-5580,Marshdale Elementary,Conifer,01,Choice,-105.3803553,39.44562565
162,CO-1420-2616,Elk Creek Elementary,Conifer,03,Choice,-105.4852718,39.44899263
163,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4852718,39.44899263
164,CO-1420-5580,Marshdale Elementary,Conifer,03,Choice,-105.4806468,39.44943265
165,CO-1420-5580,Marshdale Elementary,Conifer,KGF,Choice,-105.4806468,39.44943265
166,CO-1420-2616,Elk Creek Elementary,Conifer,05,Choice,-105.4822798,39.44715168
167,CO-1420-9428,West Jefferson Middle,Conifer,07,Choice,-105.4822798,39.44715168
168,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4759938,39.44864065
169,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.4759938,39.44864065
170,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4732218,39.44778565
171,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4732218,39.44778565
172,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4726528,39.44861566
173,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4726528,39.44861566
174,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4598343,39.44874865
175,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4598343,39.44874865
176,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4598343,39.44874865
177,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4135023,39.45001765
178,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.1804114,39.45068363
179,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4847328,39.45277165
180,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4847328,39.45277165
181,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4847328,39.45277165
182,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4826718,39.45270865
183,CO-1420-1886,Conifer High,Conifer,09,Choice,-105.4815688,39.45169865
184,CO-1420-9428,West Jefferson Middle,Conifer,06,Choice,-105.4233843,39.45458065
185,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4233843,39.45458065
186,CO-1420-9428,West Jefferson Middle,Conifer,07,Choice,-105.4223879,39.45371965
187,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4223879,39.45371965
188,CO-1420-5580,Marshdale Elementary,Conifer,02,Choice,-105.4136699,39.45356064
189,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4134933,39.45090865
190,CO-1420-2836,Evergreen High,Evergreen,09,Choice,-105.4123143,39.44997265
191,CO-1420-2836,Evergreen High,Evergreen,12,Choice,-105.4123143,39.44997265
192,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4131379,39.45131366
193,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.3873168,39.45098965
194,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3468213,39.45281665
195,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.3468213,39.45281665
196,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4042143,39.45438265
197,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3980178,39.45732565
198,CO-1420-2616,Elk Creek Elementary,Conifer,01,Home School,-105.3980178,39.45732565
199,CO-1420-2093,Dakota Ridge High,Dakota Ridge,11,Choice,-105.0794109,39.45695864
200,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4764483,39.45988165
201,CO-1420-6804,Parmalee Elementary,Evergreen,03,Choice,-105.4145418,39.45921565
202,CO-1420-6804,Parmalee Elementary,Evergreen,KGF,Choice,-105.4145418,39.45921565
203,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4097739,39.45903063
204,CO-1420-2616,Elk Creek Elementary,Conifer,03,Choice,-105.4103748,39.45841263
205,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4103748,39.45841263
206,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.4103748,39.45841263
207,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.3984678,39.45962965
208,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3943998,39.45966565
209,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3930498,39.45955765
210,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3930498,39.45955765
211,CO-1420-2616,Elk Creek Elementary,Conifer,PK,Choice,-105.3196279,39.45940464
212,CO-1420-1522,Chatfield High,Chatfield,09,Choice,-105.0777169,39.45917963
213,CO-1420-950,Bradford K8 South,Chatfield,02,Choice,-104.7865625,39.45632661
214,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3941793,39.46195165
215,CO-1420-9424,West Jefferson Elementary,Conifer,04,Choice,-105.3941793,39.46195165
216,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3974598,39.46221265
217,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3974598,39.46221265
218,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3974598,39.46221265
219,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3965688,39.46173565
220,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3949398,39.46064665
221,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3949398,39.46064665
222,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3949398,39.46064665
223,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3949398,39.46064665
224,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3949398,39.46064665
225,CO-1420-9424,West Jefferson Elementary,Conifer,PK,Choice,-105.3962898,39.46125865
226,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3708873,39.46367065
227,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3708873,39.46367065
228,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3703698,39.46247365
229,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.3318949,39.46143864
230,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3359898,39.46213164
231,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3295279,39.46192464
232,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3295279,39.46192464
233,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3260539,39.46201464
234,CO-1420-1886,Conifer High,Conifer,10,Home School,-105.3260539,39.46201464
235,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3205549,39.46477764
236,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3205549,39.46477764
237,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.2977939,39.46469664
238,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.2903959,39.46295064
239,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.2924074,39.46313964
240,CO-1420-1886,Conifer High,Conifer,11,Choice,-105.4107809,39.46571863
241,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3950883,39.46660465
242,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.3952188,39.46413865
243,CO-1420-1886,Conifer High,Conifer,10,Home School,-105.3969828,39.46466965
244,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3928743,39.46875565
245,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3860883,39.46579465
246,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.3728538,39.46608265
247,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.3728538,39.46608265
248,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.3728538,39.46608265
249,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3742893,39.46576765
250,CO-1420-1886,Conifer High,Conifer,10,Home School,-105.3335058,39.46619064
251,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.3335058,39.46619064
252,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.3335058,39.46619064
253,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3299508,39.46724364
254,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3299508,39.46724364
255,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3286188,39.46751364
256,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Home School,-105.3286188,39.46751364
257,CO-1420-9424,West Jefferson Elementary,Conifer,02,Choice,-105.3238894,39.46753164
258,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3238894,39.46753164
259,CO-1420-1886,Conifer High,Conifer,10,Home School,-105.3238894,39.46753164
260,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3195064,39.46439964
261,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3195064,39.46439964
262,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.2949409,39.46519164
263,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.2949409,39.46519164
264,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.2861839,39.46676664
265,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.2868859,39.46583964
266,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.2868859,39.46583964
267,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.2887804,39.46504764
268,CO-1420-9424,West Jefferson Elementary,Conifer,04,Home School,-105.2097739,39.46497563
269,CO-1420-9424,West Jefferson Elementary,Conifer,PK,Choice,-105.2106109,39.46519163
270,CO-1420-2963,Falcon Bluffs Middle,Chatfield,07,Choice,-105.0920809,39.46311263
271,CO-1420-2093,Dakota Ridge High,Dakota Ridge,11,Choice,-105.0857719,39.46566863
272,CO-1420-1864,Columbine High,Columbine,11,Choice,-105.0742519,39.46497562
273,CO-1420-1864,Columbine High,Columbine,11,Choice,-105.0640279,39.46781062
274,CO-1420-1522,Chatfield High,Chatfield,11,Choice,-105.0654679,39.46736962
275,CO-1420-2322,Dutch Creek Elementary,Columbine,04,Choice,-104.8989049,39.46406661
276,CO-1420-2616,Elk Creek Elementary,Conifer,03,Choice,-105.4025493,39.46994365
277,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4025493,39.46994365
278,CO-1420-2616,Elk Creek Elementary,Conifer,04,Choice,-105.402568,39.46995301
279,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.402568,39.46995301
280,CO-1420-2616,Elk Creek Elementary,Conifer,KGF,Choice,-105.4031838,39.47013866
281,CO-1420-1886,Conifer High,Conifer,12,Choice,-105.4001823,39.47240065
282,CO-1420-1886,Conifer High,Conifer,10,Choice,-105.4001823,39.47240065
283,CO-1420-2616,Elk Creek Elementary,Conifer,02,Choice,-105.4000293,39.47096065
284,CO-1420-2616,Elk Creek Elementary,Conifer,01,Choice,-105.4000293,39.47096065
285,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3971088,39.46907065
286,CO-1420-2616,Elk Creek Elementary,Conifer,01,Home School,-105.3937968,39.47129365
287,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3937968,39.47129365
288,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3920238,39.47111365
289,CO-1420-9428,West Jefferson Middle,Conifer,07,Home School,-105.3930138,39.47079865
290,CO-1420-2616,Elk Creek Elementary,Conifer,01,Home School,-105.3938958,39.47009665
291,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3927528,39.46980865
292,CO-1420-2616,Elk Creek Elementary,Conifer,02,Home School,-105.3597543,39.47231064
293,CO-1420-1886,Conifer High,Conifer,10,Home School,-105.3507408,39.47063664
294,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3507408,39.47063664
295,CO-1420-9428,West Jefferson Middle,Conifer,08,Home School,-105.3532473,39.47195064
296,CO-1420-2616,Elk Creek Elementary,Conifer,03,Home School,-105.3532473,39.47195064
297,CO-1420-2616,Elk Creek Elementary,Conifer,04,Home School,-105.3454353,39.47111364
298,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3454353,39.47111364
299,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3417003,39.46871964
300,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.3361158,39.46974564
301,CO-1420-1886,Conifer High,Conifer,11,Home School,-105.3361158,39.46974564
302,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.3361158,39.46974564
303,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.3248614,39.46808064
304,CO-1420-5580,Marshdale Elementary,Conifer,03,Choice,-105.2942569,39.46806264
305,CO-1420-1886,Conifer High,Conifer,12,Home School,-105.2776654,39.46812564
306,CO-1420-1886,Conifer High,Conifer,10,Home School,-105.2776654,39.46812564
307,CO-1420-5892,Fletcher Miller Special,Districtwide,PK,Choice,-105.2743624,39.47135664
308,CO-1420-1886,Conifer High,Conifer,09,Home School,-105.2743624,39.47135664
309,CO-1420-2616,Elk Creek Elementary,Conifer,05,Home School,-105.2743624,39.47135664
310,CO-1420-9428,West Jefferson Middle,Conifer,06,Home School,-105.1977049,39.47150963
311,CO-1420-664,Bear Creek High,Bear Creek,11,Choice,-105.0805024,39.47042062
312,CO-1420-664,Bear Creek High,Bear Creek,10,Choice,-105.0805024,39.47042062
313,CO-1420-1861,Columbine Hills Elementary,Columbine,03,Choice,-105.0763759,39.46768462
314,CO-1420-2093,Dakota Ridge High,Dakota Ridge,10,Choice,-105.0770509,39.46944862
