UniqueID,AE_SchoolName,SchoolName,ADA compliance score,ADA compliance UnitValue,Hazmat remediation score,Hazmat remediation UnitValue,Demolition score,Demolition UnitValue,New Construction ES score,New Construction ES UnitValue,New Construction HS score,New Construction HS UnitValue,New Construction K-8 score,New Construction K-8 UnitValue,New Construction MS score,New Construction MS UnitValue,Gut & Major Renovation ES score,Gut & Major Renovation ES UnitValue,Gut & Major Renovation HS score,Gut & Major Renovation HS UnitValue,Gut & Major Renovation K-8 score,Gut & Major Renovation K-8 UnitValue,Gut & Major Renovation MS score,Gut & Major Renovation MS UnitValue,New 1-story building (addition) score,New 1-story building (addition) UnitValue,New 2-story building score,New 2-story building UnitValue,New 3-story building score,New 3-story building UnitValue,New auditorium score,New auditorium UnitValue,New gym and locker rooms score,New gym and locker rooms UnitValue,New MPR score,New MPR UnitValue,New cafeteria and kitchen score,New cafeteria and kitchen UnitValue,Add shade structure(s) score,Add shade structure(s) UnitValue,Campus landscaping upgrade score,Campus landscaping upgrade UnitValue,Expand parking score,Expand parking UnitValue,Exterior paint entire campus score,Exterior paint entire campus UnitValue,"Front of school branding, landscape upgrades score","Front of school branding, landscape upgrades UnitValue",Furniture upgrades score,Furniture upgrades UnitValue,Improve drop-off / pick-up zone score,Improve drop-off / pick-up zone UnitValue,New outdoor classroom score,New outdoor classroom UnitValue,Playground replacement (ages 2-5) score,Playground replacement (ages 2-5) UnitValue,Playground replacement (ages 5-12) score,Playground replacement (ages 5-12) UnitValue,Resurface asphalt score,Resurface asphalt UnitValue,Resurface concrete score,Resurface concrete UnitValue,Upgrade artificial turf field score,Upgrade artificial turf field UnitValue,Heavily modernize admin score,Heavily modernize admin UnitValue,Heavily modernize classrooms score,Heavily modernize classrooms UnitValue,Heavily modernize gym / assembly space score,Heavily modernize gym / assembly space UnitValue,Modernize kitchen score,Modernize kitchen UnitValue,Heavily modernize cafeteria score,Heavily modernize cafeteria UnitValue,Heavily modernize MPR score,Heavily modernize MPR UnitValue,Heavily modernize restrooms score,Heavily modernize restrooms UnitValue,Heavily modernize STEM / CTE / specialized labs (MS/HS) score,Heavily modernize STEM / CTE / specialized labs (MS/HS) UnitValue,Heavily modernize STEM/specialized labs (ES) score,Heavily modernize STEM/specialized labs (ES) UnitValue,Lightly modernize admin score,Lightly modernize admin UnitValue,Lightly modernize classrooms score,Lightly modernize classrooms UnitValue,Lightly modernize corridors score,Lightly modernize corridors UnitValue,Lightly modernize entry lobby score,Lightly modernize entry lobby UnitValue,Lightly modernize cafeteria score,Lightly modernize cafeteria UnitValue,Lightly modernize library/media center score,Lightly modernize library/media center UnitValue,Lightly modernize gym / assembly space score,Lightly modernize gym / assembly space UnitValue,Lightly modernize MPR score,Lightly modernize MPR UnitValue,Site infrastructure Electrical Upgrades score,Site infrastructure Electrical Upgrades UnitValue,Site infrastructure Mechanical Upgrades score,Site infrastructure Mechanical Upgrades UnitValue,Site infrastructure Plumbing Upgrades score,Site infrastructure Plumbing Upgrades UnitValue,Site infrastructure Roof Upgrades score,Site infrastructure Roof Upgrades UnitValue,Site infrastructure Sanitary Sewer Upgrades score,Site infrastructure Sanitary Sewer Upgrades UnitValue
CO-1420-2093,Dakota Ridge HS,Dakota Ridge High,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,0.9,49,0,,1,,0,1,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.875,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-8090,Deane ES,Deane Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,0.9,50,0.325,,0.9,,1,0,0.5,,0.5,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.833333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2130,Deer Creek MS,Deer Creek Middle,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.9,51,0.45,,1,,0,1,Does not apply,,Does not apply,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.833333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-9432,Dennison ES,Dennison Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.9,52,0.225,,0.875,,1,0,0.75,,0.75,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.708333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2120,D'Evelyn Jr-Sr HS,D'Evelyn Jr-Sr High,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.8375,53,0.225,,1,,0,1,Does not apply,,Does not apply,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.416666667,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2194,Devinny ES,Devinny Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,1,54,1,,0.775,,1,0,0,,0.5,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2288,Drake MS,Drake Middle,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,1,55,0.290322581,,0.8,,0,1,0,,0.75,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.583333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2300,Dunstan MS,Dunstan Middle,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.9,56,0.45,,1,,1,0,Does not apply,,Does not apply,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.875,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2322,Dutch Creek ES,Dutch Creek Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,1,57,0.45,,0.5,,0,1,0.25,,0.25,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.833333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2496,Edgewater ES,Edgewater Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,0.686567164,59,0.225,,0.65,,0,1,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.708333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
