UniqueID,AE_SchoolName,SchoolName,ADA compliance score,ADA compliance UnitValue,Hazmat remediation score,Hazmat remediation UnitValue,Demolition score,Demolition UnitValue,New Construction ES score,New Construction ES UnitValue,New Construction HS score,New Construction HS UnitValue,New Construction K-8 score,New Construction K-8 UnitValue,New Construction MS score,New Construction MS UnitValue,Gut & Major Renovation ES score,Gut & Major Renovation ES UnitValue,Gut & Major Renovation HS score,Gut & Major Renovation HS UnitValue,Gut & Major Renovation K-8 score,Gut & Major Renovation K-8 UnitValue,Gut & Major Renovation MS score,Gut & Major Renovation MS UnitValue,New 1-story building (addition) score,New 1-story building (addition) UnitValue,New 2-story building score,New 2-story building UnitValue,New 3-story building score,New 3-story building UnitValue,New auditorium score,New auditorium UnitValue,New gym and locker rooms score,New gym and locker rooms UnitValue,New MPR score,New MPR UnitValue,New cafeteria and kitchen score,New cafeteria and kitchen UnitValue,Add shade structure(s) score,Add shade structure(s) UnitValue,Campus landscaping upgrade score,Campus landscaping upgrade UnitValue,Expand parking score,Expand parking UnitValue,Exterior paint entire campus score,Exterior paint entire campus UnitValue,"Front of school branding, landscape upgrades score","Front of school branding, landscape upgrades UnitValue",Furniture upgrades score,Furniture upgrades UnitValue,Improve drop-off / pick-up zone score,Improve drop-off / pick-up zone UnitValue,New outdoor classroom score,New outdoor classroom UnitValue,Playground replacement (ages 2-5) score,Playground replacement (ages 2-5) UnitValue,Playground replacement (ages 5-12) score,Playground replacement (ages 5-12) UnitValue,Resurface asphalt score,Resurface asphalt UnitValue,Resurface concrete score,Resurface concrete UnitValue,Upgrade artificial turf field score,Upgrade artificial turf field UnitValue,Heavily modernize admin score,Heavily modernize admin UnitValue,Heavily modernize classrooms score,Heavily modernize classrooms UnitValue,Heavily modernize gym / assembly space score,Heavily modernize gym / assembly space UnitValue,Modernize kitchen score,Modernize kitchen UnitValue,Heavily modernize cafeteria score,Heavily modernize cafeteria UnitValue,Heavily modernize MPR score,Heavily modernize MPR UnitValue,Heavily modernize restrooms score,Heavily modernize restrooms UnitValue,Heavily modernize STEM / CTE / specialized labs (MS/HS) score,Heavily modernize STEM / CTE / specialized labs (MS/HS) UnitValue,Heavily modernize STEM/specialized labs (ES) score,Heavily modernize STEM/specialized labs (ES) UnitValue,Lightly modernize admin score,Lightly modernize admin UnitValue,Lightly modernize classrooms score,Lightly modernize classrooms UnitValue,Lightly modernize corridors score,Lightly modernize corridors UnitValue,Lightly modernize entry lobby score,Lightly modernize entry lobby UnitValue,Lightly modernize cafeteria score,Lightly modernize cafeteria UnitValue,Lightly modernize library/media center score,Lightly modernize library/media center UnitValue,Lightly modernize gym / assembly space score,Lightly modernize gym / assembly space UnitValue,Lightly modernize MPR score,Lightly modernize MPR UnitValue,Site infrastructure Electrical Upgrades score,Site infrastructure Electrical Upgrades UnitValue,Site infrastructure Mechanical Upgrades score,Site infrastructure Mechanical Upgrades UnitValue,Site infrastructure Plumbing Upgrades score,Site infrastructure Plumbing Upgrades UnitValue,Site infrastructure Roof Upgrades score,Site infrastructure Roof Upgrades UnitValue,Site infrastructure Sanitary Sewer Upgrades score,Site infrastructure Sanitary Sewer Upgrades UnitValue
CO-1420-2550,Eiber ES,Eiber Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,1,60,1,,0.708333333,,1,0,0.75,,0.75,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.125,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2616,Elk Creek ES,Elk Creek Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,1,61,1,,0.916666667,,1,0,0.5,,0.5,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.875,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2836,Evergreen HS,Evergreen High,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,1,63,0.45,,0.366666667,,1,0,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.583333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2832,Evergreen MS,Evergreen Middle,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.7375,64,0.675,,1,,1,0,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.875,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2820,Everitt MS,Everitt Middle,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.75,66,0.45,,1,,0,1,Does not apply,,Does not apply,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.708333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2866,Fairmount ES,Fairmount Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,0.8375,69,0.419354839,,0.775,,0,1,Does not apply,,0.25,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.666666667,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-2963,Falcon Bluffs MS,Falcon Bluffs Middle,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,0.9,71,0.290322581,,0.875,,0,1,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.583333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-5892,Miller Special School,Miller Special School,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,#VALUE!,#VALUE!,3,,3,,3,,,72,,,#DIV/0!,,0,1,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,#DIV/0!,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3025,Foothills ES,Foothills Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,1,73,0.675,,0.833333333,,1,0,1,,1,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.875,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3088,Foster Dual Language PK-8,Foster Dual Language PK-8,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,1,75,0.9,,0.666666667,,1,0,0.75,,0.75,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.541666667,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3201,Free Horizon Montessori,Free Horizon Montessori,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,0.325,76,1,,0.208333333,,0,1,0.25,,0.25,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.583333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3216,Fremont ES,Fremont Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.8375,79,0.333333333,,0.775,,1,0,0.25,,0.25,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.666666667,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3502,Golden HS,Golden High,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,1,80,0.290322581,,0.8,,0,1,Does not apply,,Does not apply,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.708333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3536,Governor's Ranch ES,Governor's Ranch Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,0.7375,81,0.45,,0.775,,0,1,0.5,,0.5,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.416666667,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3622,Green Gables ES,Green Gables Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0,0,3,,3,,3,,0.675,82,0.45,,0.35,,0,1,0.5,,0.5,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.5,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3628,Green Mountain HS,Green Mountain High,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.5875,83,0.818181818,,0.775,,0,1,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.416666667,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-3726,Hackberry Hill ES,Hackberry Hill Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.9,84,1,,1,,1,0,Does not apply,,0.75,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.541666667,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-4190,Hutchinson ES,Hutchinson Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.9,85,0.775,,0.625,,1,0,0.5,,0.5,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.875,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-6539,Jeffco Open School,Jeffco Open School Elementary,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,1,87,1,,0.833333333,,1,0,0.5,,0.5,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.708333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-4422,Jefferson Jr-Sr HS,Jefferson Jr-Sr High,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,1,89,0.45,,0.55,,1,0,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.666666667,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
CO-1420-4548,Ken Caryl MS,Ken Caryl Middle,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,1,1,3,,3,,3,,0.7375,90,0.325,,0.775,,1,0,0,,0,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.708333333,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,0.1,,0.1,,0.1,,0.1,,0.1,
