UniqueID,Building Name,Status,Include_Flow_Chart,School Level,Capacity,Enrollment,Available Seats,Utilization,Future_EnrollmentGrowth,DistanceUnderutilizedschools,BuildingTreshhold,EducationalAdequacy,Below50PCTL_EA_Cat,DepartmentalDeficiency,SiteCapacity,Scorecard, SquareFt ,BuildingScore,RecentInvestments
CO-1420-6541,Jefferson County Open Secondary,Active,No,#N/A,#N/A,#N/A,#N/A,#N/A,0.016129032,,,,,,No,,#N/A,9,
CO-1420-8223,Stevens Elementary,Active,Yes,Elementary,569,469,100,0.824253076,,,,0.577312482,Yes,,Yes,,"111,703",7,
CO-1420-8834,Thomson Elementary,Closed,No,Elementary,518,0,518,0,,,,,,,Yes,,"48,832",9,
CO-1420-0378,Arvada West High School,Active,Yes,High,1946,1923,23,0.988180884,0.02016546,,,0.733526543,Yes,,No,,"237,052",5,
CO-1420-2093,Dakota Ridge High School,Active,Yes,High,2041,1277,764,0.625673689,-0.10685155,,,0.719992747,No,,Yes,,"236,407",7,
CO-1420-2836,Evergreen High School,Active,Yes,High,1589,909,680,0.572057898,-0.091676719,,,0.766882308,Yes,,Yes,,"209,129",8,
CO-1420-2832,Evergreen Middle School,Active,Yes,Middle,706,478,228,0.677053824,-0.013916501,,,0.666674509,Yes,,No,,"111,715",8,
CO-1420-4307,Irwin Preschool,Closed,No,Option,0,0,0,0,,,,,,,Yes,,"10,705",9,
CO-1420-4127,Jeffco Remote Learning Program,Active,No,Option,0,399,-399,0,-0.398305085,,,,,,Yes,, -   ,9,
CO-1420-4408,Jeffco Virtual Academy,Active,No,Option,0,441,-441,0,0.085526316,,,,,,No,, -   ,9,
CO-1420-5758,Meiklejohn Elementary,Active,Yes,Elementary,691,521,170,0.75397974,0.011450382,,,0.642266513,Yes,,Yes,,"69,795",6,
CO-1420-7238,Ralston Elementary,Active,Yes,Elementary,410,289,121,0.704878049,-0.027210884,,,0.64377572,Yes,,Yes,,"51,304",8,
CO-1420-7239,Ralston Valley High School,Active,Yes,High,2303,1875,428,0.814155449,0.01171459,,,0.682247745,Yes,,No,,"239,199",7,
CO-1420-0108,Alameda International Junior/Senior High School,Active,Yes,Multi-Level,1493,1002,491,0.671131949,-0.131905299,,,0.828202131,No,,Yes,,"262,863",8,
CO-1420-0664,Bear Creek High School,Active,Yes,High,2303,1344,959,0.583586626,-0.055682685,,,0.745493184,Yes,,Yes,,"255,986",8,
CO-1420-1522,Chatfield Senior High School,Active,Yes,High,2415,1808,607,0.748654244,-0.064125832,,,0.731500772,Yes,,No,,"275,727",8,
CO-1420-2963,Falcon Bluffs Middle School,Active,Yes,Middle,857,567,290,0.661610268,-0.14334471,,,0.738501254,Yes,,Yes,,"113,571",8,
