Articulation,TotalSpending,EnrollmentGrowth
Wheat Ridge,16%,16%
Charter,14%,15%
Option,14%,14%
Alameda,11%,13%
Evergreen,11%,12%
Conifer,9%,11%
Bear Creek,8%,10%
Columbine,7%,9%
Arvada,7%,8%
Ralston Valley,6%,7%
Standley Lake,5%,6%
Jefferson,5%,5%
Green Mountain,5%,4%
Golden,4%,3%
Districtwide,4%,2%
Pomona,4%,1%
Dakota Ridge,4%,0%
Chatfield,3%,-1%
Arvada West,3%,-2%
Lakewood,2%,-3%
