Articulation,TotalSpending
Wheat Ridge,16%
Charter,14%
Option,14%
Alameda,11%
Evergreen,11%
Conifer,9%
Bear Creek,8%
Columbine,7%
Arvada,7%
Ralston Valley,6%
Standley Lake,5%
Jefferson,5%
Green Mountain,5%
Golden,4%
Districtwide,4%
Pomona,4%
Dakota Ridge,4%
Chatfield,3%
Arvada West,3%
Lakewood,2%
